instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
4	m4.2xlarge	32	128000	13482	100	140000000	250	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	13482	100	140000000	258	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	13482	100	140000000	258	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	13482	100	140000000	260	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15408	100	160000000	292	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15408	100	160000000	298	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15408	100	160000000	298	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15408	100	160000000	298	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15408	100	160000000	302	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17334	100	180000000	324	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17334	100	180000000	326	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17334	100	180000000	328	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17334	100	180000000	334	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17334	100	180000000	344	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	19260	100	200000000	362	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	19260	100	200000000	362	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	19260	100	200000000	362	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	19260	100	200000000	364	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	19260	100	200000000	378	0.73813508679461	0.917837907061713	0.817114731721182
