instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
2	m4.2xlarge	16	64000	20200	100	200000000	0.5	282	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	0.5	284	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	0.5	284	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	0.5	286	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	0.5	286	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	0.75	320	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	0.75	326	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	0.75	328	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	0.75	330	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	0.75	334	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	1.0	402	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	1.0	402	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	1.0	402	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	1.0	404	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	20200	100	200000000	1.0	406	0.73813508679461	0.917837907061713	0.817114731721182
2	r4.2xlarge	16	122000	15150	100	150000000	0.5	166	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	15150	100	150000000	0.5	168	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	15150	100	150000000	0.5	168	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	15150	100	150000000	0.5	168	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	15150	100	150000000	0.5	170	0.621439738915361	0.699904926309755	0.683905823195575
4	c4.2xlarge	32	60000	15150	100	150000000	0.5	102	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	15150	100	150000000	0.5	104	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	15150	100	150000000	0.5	106	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	15150	100	150000000	0.5	112	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	15150	100	150000000	0.5	112	1.0	0.975170773880192	0.995589462652916
4	m4.2xlarge	32	128000	10100	100	100000000	0.0	60	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	0.0	60	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	0.0	60	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	0.0	62	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	0.0	64	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	0.25	80	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	0.25	80	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	0.25	80	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	0.25	80	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	0.25	80	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	0.5	100	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	0.5	100	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	0.5	100	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	0.5	100	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	0.5	106	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	0.75	120	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	0.75	120	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	0.75	120	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	0.75	120	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	0.75	120	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	1.0	140	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	1.0	140	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	1.0	140	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	1.0	142	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	10100	100	100000000	1.0	142	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.0	66	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.0	66	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.0	66	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.0	66	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.0	68	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.25	90	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.25	92	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.25	92	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.25	92	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.25	92	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.5	118	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.5	118	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.5	120	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.5	120	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.5	120	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.75	142	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.75	142	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.75	144	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.75	144	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	0.75	144	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	1.0	168	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	1.0	172	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	1.0	172	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	1.0	172	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	12625	100	125000000	1.0	184	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.0	74	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.0	74	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.0	74	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.0	76	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.0	78	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.25	108	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.25	108	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.25	108	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.25	108	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.25	108	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.5	136	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.5	138	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.5	138	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.5	140	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.5	140	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.75	170	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.75	172	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.75	172	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.75	174	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	0.75	176	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	1.0	204	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	1.0	204	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	1.0	206	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	1.0	210	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	15150	100	150000000	1.0	210	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.0	80	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.0	82	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.0	82	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.0	82	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.0	86	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.25	116	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.25	118	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.25	118	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.25	118	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.25	118	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.5	152	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.5	152	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.5	156	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.5	156	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.5	158	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.75	188	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.75	190	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.75	196	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.75	198	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	0.75	198	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	1.0	222	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	1.0	234	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	1.0	238	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	1.0	242	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	17675	100	175000000	1.0	246	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	20200	100	200000000	0.0	88	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	20200	100	200000000	0.0	88	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	20200	100	200000000	0.0	88	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	20200	100	200000000	0.0	88	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	20200	100	200000000	0.0	88	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	20200	100	200000000	0.25	126	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	20200	100	200000000	0.25	128	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	20200	100	200000000	0.25	128	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	20200	100	200000000	0.25	130	0.73813508679461	0.917837907061713	0.817114731721182
