instance_count	machine_type	slots	memory	data_size_MB	use_dense	examples	features	pages	classes	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
6	r4.large	12	90000	huge	False	10000	1000	500000	100	1914	0.626835516578723	1.0	0.670704216951795
6	r4.xlarge	24	180000	bigdata	False	10000	100000	20000000	20000	2422	0.621758403741034	0.91340066266808	0.680859830691666
6	r4.xlarge	24	180000	bigdata	False	10000	100000	20000000	20000	2147	0.621758403741034	0.91340066266808	0.680859830691666
6	r4.xlarge	24	180000	bigdata	False	10000	100000	20000000	20000	2124	0.621758403741034	0.91340066266808	0.680859830691666
6	r4.xlarge	24	180000	bigdata	False	10000	100000	20000000	20000	2019	0.621758403741034	0.91340066266808	0.680859830691666
6	r4.xlarge	24	180000	bigdata	False	10000	100000	20000000	20000	2084	0.621758403741034	0.91340066266808	0.680859830691666
6	r4.xlarge	24	180000	huge	False	10000	1000	500000	100	983	0.621758403741034	0.91340066266808	0.680859830691666
6	r4.xlarge	24	180000	huge	False	10000	1000	500000	100	954	0.621758403741034	0.91340066266808	0.680859830691666
6	r4.xlarge	24	180000	huge	False	10000	1000	500000	100	1272	0.621758403741034	0.91340066266808	0.680859830691666
6	r4.xlarge	24	180000	huge	False	10000	1000	500000	100	1052	0.621758403741034	0.91340066266808	0.680859830691666
6	r4.xlarge	24	180000	huge	False	10000	1000	500000	100	965	0.621758403741034	0.91340066266808	0.680859830691666
8	c4.2xlarge	64	120000	bigdata	False	10000	100000	20000000	20000	709	1.0	0.975170773880192	0.995589462652916
8	c4.2xlarge	64	120000	bigdata	False	10000	100000	20000000	20000	724	1.0	0.975170773880192	0.995589462652916
8	c4.2xlarge	64	120000	bigdata	False	10000	100000	20000000	20000	633	1.0	0.975170773880192	0.995589462652916
8	c4.2xlarge	64	120000	bigdata	False	10000	100000	20000000	20000	766	1.0	0.975170773880192	0.995589462652916
8	c4.2xlarge	64	120000	bigdata	False	10000	100000	20000000	20000	855	1.0	0.975170773880192	0.995589462652916
8	c4.2xlarge	64	120000	huge	False	10000	1000	500000	100	375	1.0	0.975170773880192	0.995589462652916
8	c4.2xlarge	64	120000	huge	False	10000	1000	500000	100	390	1.0	0.975170773880192	0.995589462652916
8	c4.2xlarge	64	120000	huge	False	10000	1000	500000	100	429	1.0	0.975170773880192	0.995589462652916
8	c4.2xlarge	64	120000	huge	False	10000	1000	500000	100	419	1.0	0.975170773880192	0.995589462652916
8	c4.2xlarge	64	120000	huge	False	10000	1000	500000	100	327	1.0	0.975170773880192	0.995589462652916
8	c4.large	16	24000	bigdata	False	10000	100000	20000000	20000	3013	0.958215477247805	0.963738302503114	0.959066866763844
8	c4.large	16	24000	bigdata	False	10000	100000	20000000	20000	2393	0.958215477247805	0.963738302503114	0.959066866763844
8	c4.large	16	24000	bigdata	False	10000	100000	20000000	20000	3039	0.958215477247805	0.963738302503114	0.959066866763844
8	c4.large	16	24000	bigdata	False	10000	100000	20000000	20000	3006	0.958215477247805	0.963738302503114	0.959066866763844
8	c4.large	16	24000	bigdata	False	10000	100000	20000000	20000	2882	0.958215477247805	0.963738302503114	0.959066866763844
8	c4.large	16	24000	huge	False	10000	1000	500000	100	1271	0.958215477247805	0.963738302503114	0.959066866763844
8	c4.large	16	24000	huge	False	10000	1000	500000	100	1227	0.958215477247805	0.963738302503114	0.959066866763844
8	c4.large	16	24000	huge	False	10000	1000	500000	100	1482	0.958215477247805	0.963738302503114	0.959066866763844
8	c4.large	16	24000	huge	False	10000	1000	500000	100	1561	0.958215477247805	0.963738302503114	0.959066866763844
8	c4.large	16	24000	huge	False	10000	1000	500000	100	1599	0.958215477247805	0.963738302503114	0.959066866763844
8	c4.xlarge	32	56000	bigdata	False	10000	100000	20000000	20000	1578	0.981580131098954	0.916863624781091	1.0
8	c4.xlarge	32	56000	bigdata	False	10000	100000	20000000	20000	1461	0.981580131098954	0.916863624781091	1.0
8	c4.xlarge	32	56000	bigdata	False	10000	100000	20000000	20000	1421	0.981580131098954	0.916863624781091	1.0
8	c4.xlarge	32	56000	bigdata	False	10000	100000	20000000	20000	1425	0.981580131098954	0.916863624781091	1.0
8	c4.xlarge	32	56000	bigdata	False	10000	100000	20000000	20000	1660	0.981580131098954	0.916863624781091	1.0
8	c4.xlarge	32	56000	huge	False	10000	1000	500000	100	676	0.981580131098954	0.916863624781091	1.0
8	c4.xlarge	32	56000	huge	False	10000	1000	500000	100	753	0.981580131098954	0.916863624781091	1.0
8	c4.xlarge	32	56000	huge	False	10000	1000	500000	100	651	0.981580131098954	0.916863624781091	1.0
8	c4.xlarge	32	56000	huge	False	10000	1000	500000	100	744	0.981580131098954	0.916863624781091	1.0
8	c4.xlarge	32	56000	huge	False	10000	1000	500000	100	707	0.981580131098954	0.916863624781091	1.0
